"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Buffalo","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3264_buffalo_bulls-wordmark-2016.png","#041A9B","#ebebeb"
"Central Michigan","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/central_michigan-wordmark.png","#6a0032","#ffffff"
"Eastern Michigan","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9448_eastern_michigan_eagles-alternate-2000.png","#00331b","#f0f0f0"
"Kent State","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kent_state_golden_flashes_logo_wordmark_2017_sportslogosnet-7257.png","#002445","#f0b510"
"Massachusetts","Mid-American",NA,NA,NA,NA,NA
"Miami (OH)","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/193.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/miami_(ohio)_redhawks_logo_wordmark_20131371.png","#a4000c","#f0f0f0"
"Northern Illinois","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5142_northern_illinois_huskies-wordmark-2001.png","#F1122C","#cc0000"
"Ohio","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4346_ohio_bobcats-wordmark-1996.png","#295A29","#e4bb85"
"Toledo","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/toledo_rockets_logo_primary_2019_sportslogosnet-7348.png","#00488F","#ffd51d"
"Western Michigan","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/western_michigan_broncos_logo_wordmark_20168247.png","#B59966","#bfa979"
"Air Force","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/air_force_falcons_logo_wordmark_20202087.png","#004a7b","#ffffff"
"Boise State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/boise_state_broncos_logo_wordmark_2013_sportslogosnet-5682.png","#09347A","#d8d9da"
"Colorado State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/colorado_state_rams_logo_wordmark_20217977.png","#004537","#ffc425"
"Fresno State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/fresno_state_bulldogs_logo_wordmark_2020_sportslogosnet-2559.png","#c41230","#231f20"
"Hawai'i","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/62.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/hawaii_warriors_logo_wordmark_2000_sportslogosnet-3044.png","#003420","#ffffff"
"Nevada","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png","#153E5F","#8e9295"
